"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA117","ACC","199832","2025-03-10T12:40:00Z","Plainview","Texas","United States",,"N923ZA","72007","false","Aviation","",,,"None","0","0","0","0","0",,,,"34.164484999999999","-101.73069","CAMPBELL JOHN S","RV-7A","AIR","PVW","HALE COUNTY","false","1",,,"PERS","091","Substantial","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199832/pdf"
"CEN25MA115","ACC","199825","2025-03-10T12:37:00Z","Canton","Mississippi","United States",,"N835CS","1091","false","Aviation","",,,"Fatal","3","0","0","3","0",,,,"32.559192000000003","-89.907613999999995","EUROCOPTER DEUTSCHLAND GMBH","EC 135 P2+","HELI",,,"false","2",,"NSCH","BUS","135","Destroyed","VMC","MED-TRANS CORP","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199825/pdf"
"ANC25LA023","ACC","199837","2025-03-10T12:30:00Z","Cantwell","Alaska","United States",,"N5375","17263527","false","Aviation","",,,"None","0","0","0","0",,,,,"63.328761999999998","-149.13677000000001","CESSNA","172","AIR","PAST","Summit","false","1",,,"PERS","091","Substantial","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199837/pdf"
"GAA25WA113","ACC","199866","2025-03-10T09:20:00Z","St. Gallen","Other Foreign","Slovenia",,"N595RJ",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"MOONEY","M20R",,,,"false",,,,,"091",,,"INTERNATIONAL AIR SERVICES INC TRUSTEE","Unknown","N/A",,,"","None"
"CEN25LA114","ACC","199824","2025-03-09T22:15:00Z","Rochester","Minnesota","United States",,"N4784J","MB-220","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"43.922193","-92.500568999999999","BEECH","A23-19","AIR","RST","Rochester International Airport","false","1",,,"PERS","091","Substantial","VMC","AIRLAKE AERO INC","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199824/pdf"
"WPR25LA110","ACC","199826","2025-03-09T21:04:00Z","North Las Vegas","Nevada","United States",,"N44KY","11307","false","Aviation","",,,"Minor","0","0","2","2",,,,,"36.210703000000002","-115.19444","ROBINSON HELICOPTER COMPANY","R44 II","HELI","VGT",,"false","1",,"NSCH","OWRK","091","Substantial","VMC","West Air Helicopters","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199826/pdf"
"GAA25WA114","ACC","199872","2025-03-09T17:15:00Z","Peruibe",,"Brazil",,"PT-AKY","15069369","false","Aviation","",,,"Fatal","1","1","0","2",,,,,"-24.253333000000001","-46.902777999999998","CESSNA","150","AIR","N/A",,"false","1",,,"INST","NUSN","Substantial",,,"Enroute","N/A",,"Prelim","","None"
"ERA25LA137","ACC","199816","2025-03-09T15:30:00Z","Lititz","Pennsylvania","United States",,"N347M","EA-253","false","Aviation","",,,"Serious","0","2","3","5",,,,,"40.120452","-76.298970999999995","BEECH","A36TC","AIR","LNS","LANCASTER","false","1",,,"PERS","091","Destroyed","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199816/pdf"
"DCA25WA165","OCC","199915","2025-03-08T05:00:00Z","The Granites",,"Australia",,"VH-A2V",,"false","Aviation","",,,,,,,,,,,,,,"EMBRAER","190",,,,"false",,,,,,,,"Alliance Airlines","Approach","N/A",,,"","None"
"GAA25WA116","ACC","199884","2025-03-08T05:00:00Z","Voi","Other Foreign","Kenya",,"5Y-BYQ",,"false","Aviation","",,,"Fatal",,,,,,,,,,,"CESSNA","152",,,,"false",,,,"PERS","NUSN",,,,"Unknown","N/A",,,"","None"
