EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
ACC,2022-09-03T16:00:00Z,False,Aviation,9/5/2024 0:00,Serious,0.0,2.0,0.0,2.0,CESSNA,180,AIR,23S,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-09-03T16:00:00Z,False,Aviation,1/9/2023 0:00,,0.0,0.0,0.0,0.0,ALISPORT SRL,SILENT 2 ELECTRO,GLI,4S2,false,1,ELEC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-09-03T15:09:00Z,False,Aviation,1/30/2024 0:00,,0.0,0.0,0.0,0.0,PIPER,PA28,AIR,3G3,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
ACC,2022-09-03T11:21:00Z,False,Aviation,2/9/2023 0:00,,0.0,0.0,0.0,0.0,BEECH,C90A,AIR,,false,2,TP,UNK,UNK,Substantial,VMC,Maneuvering,Completed,Final
ACC,2022-09-02T22:00:00Z,False,Aviation,11/1/2022 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-18-150,AIR,PVT,false,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-09-02T20:35:00Z,False,Aviation,12/8/2022 0:00,,0.0,0.0,0.0,0.0,STINSON,10A,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-09-02T15:50:00Z,False,Aviation,11/1/2022 0:00,Minor,0.0,0.0,2.0,2.0,WACO CLASSIC AIRCRAFT CORP,2T-1A-2,AIR,OEB,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-09-02T12:00:00Z,False,Aviation,9/5/2024 0:00,Fatal,1.0,0.0,0.0,1.0,YAKOVLEV,YAK-11,AIR,MIT,false,1,REC,PERS,091,Destroyed,VMC,Approach,Completed,Final
ACC,2022-09-02T11:35:00Z,False,Aviation,11/1/2022 0:00,,0.0,0.0,0.0,0.0,PIPER,PA28R,AIR,N57,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
INC,2022-09-02T10:04:00Z,False,Aviation,,,,,,,BOEING,777-222,AIR,AMS,false,2,,,121,,,Takeoff,,Prelim
