index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
2659,ACC,2021-04-17T12:05:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,BRYAN S HAPPELL,TANGO2,GYRO,COE,true,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2660,ACC,2021-04-17T10:48:00Z,False,Aviation,1/19/2023 0:00,Fatal,2.0,0.0,0.0,2.0,RANS,S12,AIR,63S,true,1,REC,FLTS,091,Substantial,VMC,Maneuvering,Completed,Final
2661,ACC,2021-04-16T21:42:00Z,False,Aviation,,Fatal,1.0,1.0,0.0,2.0,PIPER,PA-31-350,AIR,MYBS,false,2,,PERS,091,Substantial,VMC,Initial Climb,,Prelim
2662,ACC,2021-04-16T20:30:00Z,False,Aviation,7/20/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,A185F,AIR,OVO,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
2663,ACC,2021-04-16T11:15:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,CESSNA,550,AIR,EHGG,false,,,,NUSN,,,Enroute,,Prelim
2664,ACC,2021-04-16T11:10:00Z,False,Aviation,6/14/2022 0:00,,0.0,0.0,0.0,0.0,HINE T L/JOHNSON R,BUSH WACKER,AIR,OPN,true,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2665,ACC,2021-04-16T10:10:00Z,False,Aviation,10/19/2021 0:00,,0.0,0.0,0.0,0.0,BEECH,C-99,AIR,KCL,false,2,TP,BUS,135,Substantial,VMC,Landing,Completed,Final
2666,ACC,2021-04-15T19:48:00Z,False,Aviation,1/31/2023 0:00,Fatal,2.0,0.0,0.0,2.0,CESSNA,140,AIR,CMR,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
2667,ACC,2021-04-15T16:05:00Z,False,Aviation,4/19/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,A188,AIR,,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
2668,ACC,2021-04-15T14:35:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,PIPER,J3,AIR,EHTE,false,,,,UNK,Destroyed,,Landing,,Prelim
2669,ACC,2021-04-15T13:58:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,VANS,RV4,AIR,UT25,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
2670,ACC,2021-04-15T12:41:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BEECH,D17,AIR,,false,,,,NUSN,Substantial,,Landing,,Prelim
2671,ACC,2021-04-15T12:00:00Z,False,Aviation,10/19/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,A185F,AIR,MRI,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2672,ACC,2021-04-15T10:30:00Z,False,Aviation,8/17/2022 0:00,,0.0,0.0,0.0,0.0,GATES LEARJET CORP.,35A,AIR,COS,false,2,TF,POSI,091,Substantial,IMC,Landing,Completed,Final
2673,ACC,2021-04-15T10:00:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-22-160,AIR,P52,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2674,ACC,2021-04-14T18:30:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA22,AIR,PUW,false,1,REC,PERS,091,Substantial,VMC,Taxi,Completed,Final
2675,ACC,2021-04-14T16:40:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,172P,AIR,BLI,false,1,REC,INST,091,Substantial,VMC,Landing,Completed,Final
2676,ACC,2021-04-13T12:10:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,AIR TRACTOR,AT301,AIR,,false,1,,AAPL,NUSC,Destroyed,VMC,Maneuvering,,Prelim
2677,ACC,2021-04-13T08:52:00Z,False,Aviation,3/30/2022 0:00,Fatal,1.0,0.0,0.0,1.0,CESSNA,A188,AIR,,false,1,REC,AAPL,091,Destroyed,VMC,Maneuvering,Completed,Final
2678,ACC,2021-04-13T04:00:00Z,False,Aviation,,Fatal,2.0,0.0,0.0,2.0,CESSNA,172,AIR,,false,,,,NUSN,Destroyed,,Unknown,,Prelim
2679,INC,2021-04-13T02:11:00Z,False,Aviation,,,,,,,BOEING,777,AIR,MMMX,false,,,,121,,,Takeoff,,Prelim
2680,ACC,2021-04-12T19:20:00Z,False,Aviation,6/8/2023 0:00,Serious,0.0,1.0,1.0,2.0,PIPER,PA-28-140,AIR,SHD,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
2681,ACC,2021-04-11T20:40:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA-28-180,AIR,SVC,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2682,ACC,2021-04-11T16:15:00Z,False,Aviation,10/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,182H,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
2683,ACC,2021-04-11T09:15:00Z,False,Aviation,7/16/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-32R-301,AIR,TOI,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2684,ACC,2021-04-10T13:30:00Z,False,Aviation,10/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,150M,AIR,0F9,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
2685,ACC,2021-04-10T12:20:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,ROWE DENNIS A,HIGHLANDER,AIR,BLF,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2686,ACC,2021-04-09T20:58:00Z,False,Aviation,1/6/2022 0:00,,0.0,0.0,0.0,0.0,VANS AIRCRAFT INC,RV-7,AIR,BDU,false,1,,BUS,091,Substantial,VMC,Enroute,Completed,Final
2687,ACC,2021-04-09T18:45:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BELL,206,HELI,,false,1,,,NUSC,Substantial,,Enroute,,Prelim
2688,ACC,2021-04-09T11:15:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-32R-300,AIR,7GA7,false,1,REC,BUS,091,Substantial,VMC,Takeoff,Completed,Final
2689,ACC,2021-04-09T10:12:00Z,False,Aviation,8/16/2023 0:00,,0.0,0.0,0.0,0.0,EUROCOPTER,EC120,HELI,,false,1,TS,PERS,091,Substantial,VMC,Enroute,Completed,Final
2690,INC,2021-04-09T05:17:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BAE,ATP,AIR,IOM,false,2,,,NUSC,,,Approach,,Prelim
2691,ACC,2021-04-08T12:30:00Z,False,Aviation,,,,,,,ROBINSON,R44,HELI,,false,,,,NUSN,Substantial,,Maneuvering,,Prelim
2692,ACC,2021-04-08T04:00:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,PIPER,PA28,AIR,EKRK,false,,,,NUSN,Minor,,Approach,,Prelim
2693,ACC,2021-04-07T14:08:00Z,False,Aviation,2/24/2023 0:00,Fatal,1.0,1.0,0.0,2.0,CESSNA,177B,AIR,N56,false,1,REC,PERS,091,Destroyed,VMC,Takeoff,Completed,Final
2694,ACC,2021-04-07T10:15:00Z,False,Aviation,9/22/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-28-181,AIR,06C,false,1,REC,OWRK,091,Substantial,VMC,Initial Climb,Completed,Final
2695,ACC,2021-04-07T10:00:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,170A,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2696,ACC,2021-04-06T15:00:00Z,False,Aviation,4/19/2023 0:00,,0.0,0.0,0.0,0.0,FORISCH EDWARD,BUSHBY MUSTANG M II,AIR,ORH,true,1,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final
2697,ACC,2021-04-06T14:00:00Z,False,Aviation,11/16/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,172F,AIR,2GC,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2698,ACC,2021-04-06T13:20:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,172S,AIR,OGB,false,1,REC,INST,091,Substantial,VMC,Landing,Completed,Final
