index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
0,INC,2020-12-31T18:15:00Z,False,Aviation,12/2/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,501,AIR,OPF,False,0.25,TF,PERS,091,Minor,VMC,Takeoff,Completed,Final,0,0.3570691434468524
1,ACC,2020-12-31T18:00:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-20-135,AIR,PRIVATE,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.13106295149638802
2,ACC,2020-12-31T15:45:00Z,False,Aviation,10/19/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172R,AIR,5HO,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.1460268317853457
3,ACC,2020-12-31T14:49:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BEECH,1900,AIR,JNB,False,,?,?,129,Minor,?,Taxi,?,Prelim,0,0.8116615067079463
4,INC,2020-12-31T02:15:00Z,False,Aviation,?,?,?,?,?,?,AIRBUS,A319-115,AIR,BOG,False,0.25,?,?,121,Minor,?,Landing,?,Prelim,0,0.8116615067079463
5,ACC,2020-12-30T18:10:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,MOONEY INTERNATIONAL CORP,M20TN,AIR,N21,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.1155830753353973
6,ACC,2020-12-30T17:00:00Z,False,Aviation,11/4/2022 0:00,?,0.0,0.0,0.0,0.0,PIPER AIRCRAFT INC,PA46R-350T,AIR,THV,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.3431372549019608
7,ACC,2020-12-30T13:00:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,TAYLORCRAFT,BC12,AIR,W75,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.09752321981424147
8,ACC,2020-12-30T05:00:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,ROBINSON,R66,HELI,?,False,,?,?,UNK,Unknown,?,Unknown,?,Prelim,1,0.8121775025799793
9,INC,2020-12-30T01:34:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737-824,AIR,SJO,False,0.25,TF,?,121,Minor,?,Landing,?,Factual,0,0.8121775025799793
10,ACC,2020-12-29T12:50:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,BEECH,95-B55 (T42A),AIR,BAF,False,0.25,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.0980392156862745
11,ACC,2020-12-29T12:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,182,AIR,N47,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.11609907120743033
12,ACC,2020-12-29T11:30:00Z,False,Aviation,?,Fatal,4.0,0.0,0.0,4.0,CESSNA,177,AIR,?,False,,?,?,NUSN,Destroyed,?,Enroute,?,Prelim,1,0.8126934984520123
13,ACC,2020-12-29T09:35:00Z,False,Aviation,12/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,HUGHES,369D,HELI,?,False,0.125,TS,EXLD,133,Destroyed,VMC,Maneuvering,Completed,Final,1,0.3606811145510836
14,ACC,2020-12-28T22:03:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,EMBRAER SA,EMB-550,AIR,?,False,0.25,?,?,NUSN,Substantial,?,Landing,?,Prelim,0,0.8126934984520123
15,ACC,2020-12-28T21:00:00Z,False,Aviation,7/19/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172H,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.2884416924664603
16,ACC,2020-12-28T20:45:00Z,False,Aviation,7/12/2022 0:00,?,0.0,0.0,0.0,0.0,BEECH,65-A80-8800,AIR,AXN,False,0.125,REC,?,135,Substantial,VMC,Initial Climb,Completed,Final,0,0.2848297213622291
17,ACC,2020-12-28T17:00:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-30,AIR,60R,False,0.25,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.11661506707946336
18,INC,2020-12-28T05:15:00Z,False,Aviation,?,?,?,?,?,?,AIRBUS,A330,AIR,KEF,False,0.25,?,BUS,121,?,?,Enroute,?,Prelim,0,0.8132094943240453
19,ACC,2020-12-27T19:12:00Z,False,Aviation,1/31/2023 0:00,Minor,0.0,0.0,3.0,3.0,BEECH,35,AIR,IZA,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.39009287925696595
20,ACC,2020-12-27T16:20:00Z,False,Aviation,2/2/2023 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172,AIR,44N,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.391124871001032
21,ACC,2020-12-27T14:36:00Z,False,Aviation,7/16/2021 0:00,Serious,0.0,1.0,0.0,1.0,GLASFLUGEL,CLUB LIBELLE 205,GLI,7NC5,False,0.0,?,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.09907120743034055
22,ACC,2020-12-27T14:00:00Z,False,Aviation,11/4/2022 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA-22-150,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final,0,0.3446852425180599
23,ACC,2020-12-26T18:39:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,GA04,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.13364293085655313
24,ACC,2020-12-26T12:30:00Z,False,Aviation,7/16/2021 0:00,Serious,0.0,1.0,0.0,1.0,Quad City Aircraft Corp,Challenger II,AIR,06MO,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.09958720330237357
25,ACC,2020-12-26T04:47:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,208,AIR,?,False,,?,?,NUSN,Substantial,?,Landing,?,Prelim,0,0.8142414860681114
26,ACC,2020-12-25T18:19:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,AEROSTAR INTERNATIONAL INC,S-60A,BALL,?,False,0.0,?,AOBV,091,Substantial,VMC,Landing,Completed,Final,0,0.13415892672858615
27,INC,2020-12-25T13:37:00Z,False,Aviation,?,?,?,?,?,?,BOEING,737,AIR,JNB,False,0.25,?,?,NUSC,?,?,Enroute,?,Prelim,0,0.8147574819401444
28,ACC,2020-12-24T15:40:00Z,False,Aviation,7/12/2022 0:00,Serious,0.0,1.0,0.0,1.0,WALTON DANIEL J,SONEX,AIR,8IL5,True,0.125,?,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.2868937048503612
29,ACC,2020-12-23T13:30:00Z,False,Aviation,1/6/2022 0:00,Serious,0.0,1.0,0.0,1.0,AIRBUS INDUSTRIE,A320-232,AIR,?,False,0.25,TF,?,121,?,VMC,Approach,Completed,Final,0,0.19091847265221876
30,ACC,2020-12-22T22:21:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,525,AIR,SBUL,False,,?,?,NUSN,Substantial,?,Landing,?,Prelim,0,0.8157894736842105
31,ACC,2020-12-22T16:30:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,170,AIR,MNV,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.10165118679050567
32,ACC,2020-12-22T13:00:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172S,AIR,CJR,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.10165118679050567
33,ACC,2020-12-22T11:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,ROBINSON,R44,HELI,?,False,,?,?,NUSN,Substantial,?,?,?,Prelim,0,0.8163054695562435
34,ACC,2020-12-21T17:25:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,150K,AIR,FLY,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.12022703818369451
35,ACC,2020-12-21T16:25:00Z,False,Aviation,8/31/2022 0:00,?,0.0,0.0,0.0,0.0,NAVION,Navion A,AIR,LVK,False,0.125,REC,FLTS,091,Substantial,VMC,Approach,Completed,Final,0,0.3142414860681115
36,ACC,2020-12-21T15:52:00Z,False,Aviation,7/12/2022 0:00,Fatal,2.0,0.0,0.0,2.0,Express,CT,AIR,GPM,False,0.125,REC,PERS,091,Destroyed,VMC,Maneuvering,Completed,Final,1,0.2884416924664603
37,ACC,2020-12-20T21:35:00Z,False,Aviation,11/4/2022 0:00,Serious,0.0,1.0,1.0,2.0,RAYTHEON,HAWKER,AIR,FRG,False,0.25,TF,EXEC,091,Substantial,IMC,Approach,Completed,Final,0,0.34829721362229105
38,ACC,2020-12-20T21:11:00Z,False,Aviation,10/19/2022 0:00,Fatal,1.0,0.0,0.0,1.0,CESSNA,210L,AIR,1GA0,False,0.125,REC,PERS,091,Substantial,IMC,Enroute,Completed,Final,1,0.34004127966976266
39,ACC,2020-12-20T17:45:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,ROBINSON HELICOPTER,R44,HELI,C09,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.12074303405572755
40,ACC,2020-12-19T15:30:00Z,False,Aviation,7/12/2022 0:00,Fatal,1.0,0.0,0.0,1.0,Sonex,Tailwheel,AIR,FWS,True,,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,1,0.2894736842105263
41,ACC,2020-12-19T13:16:00Z,False,Aviation,2/2/2023 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA46,AIR,APF,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.39525283797729616
42,ACC,2020-12-18T14:22:00Z,False,Aviation,10/19/2022 0:00,Serious,0.0,3.0,0.0,3.0,PIPER,PA28,AIR,TPA,False,0.125,REC,INST,091,Destroyed,VMC,Approach,Completed,Final,0,0.3410732714138287
43,ACC,2020-12-18T12:51:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,170,AIR,BVN,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.10371517027863776
44,ACC,2020-12-17T17:37:00Z,False,Aviation,10/19/2022 0:00,Fatal,1.0,3.0,0.0,4.0,SOCATA,TB10,AIR,HWO,False,0.125,REC,PERS,091,Destroyed,VMC,Takeoff,Completed,Final,1,0.3415892672858617
45,ACC,2020-12-17T17:29:00Z,False,Aviation,8/16/2022 0:00,Fatal,1.0,0.0,0.0,1.0,EXTRA FLUGZEUGPRODUKTIONS-UND,EA 300/L,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final,1,0.3085655314757482
46,ACC,2020-12-16T15:19:00Z,False,Aviation,2/7/2023 0:00,?,0.0,0.0,0.0,0.0,EMBRAER,EMB-500,AIR,CRG,False,0.25,TF,EXEC,091,Substantial,IMC,Landing,Completed,Final,0,0.3993808049535604
47,ACC,2020-12-16T15:17:00Z,False,Aviation,11/2/2022 0:00,Fatal,1.0,0.0,0.0,1.0,SilverLight Aviation LLC,AR-1,GYRO,HCR,True,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,1,0.3493292053663571
48,ACC,2020-12-16T05:39:00Z,False,Aviation,9/14/2022 0:00,Fatal,2.0,0.0,0.0,2.0,PIPER,PA28,AIR,?,False,0.125,REC,PERS,091,Destroyed,IMC,Enroute,Completed,Final,1,0.3240454076367389
49,ACC,2020-12-16T00:00:00Z,False,Aviation,7/12/2022 0:00,Fatal,2.0,0.0,0.0,2.0,RANS,S12XL,AIR,PIL,True,0.125,REC,INST,091,Substantial,VMC,Unknown,Completed,Final,1,0.2915376676986584
50,ACC,2020-12-15T17:15:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,LAKE,LA-4-200,AIR,NONE,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.12332301341589266
51,ACC,2020-12-13T21:00:00Z,False,Aviation,9/22/2021 0:00,?,0.0,0.0,0.0,0.0,Eclipse,EA 500,AIR,LXV,False,0.25,TF,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.1413828689370485
52,ACC,2020-12-13T13:52:00Z,False,Aviation,?,?,?,?,?,?,AFICIONADO,MINI-MAX EROS,AIR,?,False,,?,?,NUSN,Destroyed,?,Initial Climb,?,Prelim,0,0.8209494324045408
53,ACC,2020-12-13T13:50:00Z,False,Aviation,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,MYF,False,0.125,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final,0,0.2899896800825593
54,ACC,2020-12-13T11:45:00Z,False,Aviation,10/13/2022 0:00,Minor,0.0,0.0,2.0,2.0,FLIGHT DESIGN,CTSW,AIR,9A9,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.34055727554179566
55,ACC,2020-12-12T16:23:00Z,False,Aviation,10/13/2022 0:00,Fatal,1.0,0.0,0.0,1.0,Anthony Mattioli,AR-1,GYRO,?,True,0.125,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final,1,0.3410732714138287
56,ACC,2020-12-12T13:50:00Z,False,Aviation,10/13/2022 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA24,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.3410732714138287
57,ACC,2020-12-12T13:49:00Z,False,Aviation,2/7/2023 0:00,Fatal,1.0,0.0,0.0,1.0,BEECH,V35A,AIR,?,False,0.125,REC,PERS,091,Destroyed,IMC,Maneuvering,Completed,Final,1,0.40144478844169246
58,ACC,2020-12-11T19:15:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,BELL,206,HELI,?,False,,?,?,NUSN,Substantial,?,Approach,?,Prelim,1,0.8214654282765738
59,ACC,2020-12-11T15:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28-161,AIR,ACK,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.12538699690402474
60,ACC,2020-12-11T14:00:00Z,False,Aviation,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,KOLB,FIRESTAR,AIR,8NC8,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.3415892672858617
61,ACC,2020-12-11T13:27:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,1B0,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.12538699690402474
62,ACC,2020-12-10T16:47:00Z,False,Aviation,1/31/2023 0:00,Serious,0.0,1.0,0.0,1.0,Cirrus Design Corp.,SR22,AIR,OGD,False,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.3988648090815273
63,ACC,2020-12-10T13:30:00Z,False,Aviation,9/22/2021 0:00,Serious,0.0,1.0,0.0,1.0,LUSCOMBE,8,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.14293085655314755
64,ACC,2020-12-10T10:30:00Z,False,Aviation,2/8/2023 0:00,Fatal,2.0,0.0,0.0,2.0,ROBINSON,R44,HELI,?,False,0.125,REC,BUS,091,Destroyed,VMC,Maneuvering,Completed,Final,1,0.40299277605779155
65,ACC,2020-12-09T19:30:00Z,False,Aviation,8/24/2021 0:00,Serious,0.0,1.0,0.0,0.0,CESSNA,172,AIR,GYL,False,0.125,REC,INST,091,?,VMC,Standing,Completed,Final,0,0.1284829721362229
66,ACC,2020-12-09T12:00:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,FORD STEPHEN L,SUPER CHIEF,AIR,F95,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.10835913312693497
67,ACC,2020-12-08T16:40:00Z,False,Aviation,7/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,VANS,RV6,AIR,KGLS,True,,REC,PERS,091,Destroyed,VMC,Enroute,Completed,Final,1,0.29256965944272445
68,ACC,2020-12-08T12:00:00Z,False,Aviation,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA12,AIR,SPF,False,0.125,REC,FLTS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.29256965944272445
69,ACC,2020-12-08T09:50:00Z,False,Aviation,8/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,Cessna,172,AIR,DLN,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.12693498452012383
70,ACC,2020-12-07T16:28:00Z,False,Aviation,7/19/2022 0:00,Serious,0.0,1.0,0.0,1.0,VANS,RV4,AIR,15TX,True,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.29927760577915374
71,INC,2020-12-06T20:10:00Z,False,Aviation,5/3/2022 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA46,AIR,JYO,False,0.125,TP,PERS,091,Minor,VMC,Landing,Completed,Final,0,0.26006191950464397
72,ACC,2020-12-06T17:18:00Z,False,Aviation,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,ERCOUPE,415,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.3441692466460268
73,ACC,2020-12-06T14:45:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA23,AIR,2R4,False,0.25,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.12796697626418987
74,ACC,2020-12-06T07:25:00Z,False,Aviation,7/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,PIPER,PA32,AIR,MWM,False,0.125,REC,PERS,091,Destroyed,IMC,Initial Climb,Completed,Final,1,0.2936016511867905
75,ACC,2020-12-05T14:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,ROBINSON HELICOPTER COMPANY,R44 II,HELI,?,False,0.125,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final,0,0.1284829721362229
76,INC,2020-12-05T05:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737,AIR,KTW,False,0.25,?,BUS,NUSC,Minor,?,Enroute,?,Prelim,0,0.8250773993808049
77,ACC,2020-12-04T15:11:00Z,False,Aviation,8/16/2022 0:00,Serious,0.0,1.0,0.0,1.0,CESSNA,172,AIR,KPSP,False,0.125,REC,INST,091,Substantial,VMC,Approach,Completed,Final,0,0.3152734778121775
78,INC,2020-12-04T05:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,777,AIR,?,False,,?,UNK,NUSC,Minor,?,Enroute,?,Prelim,0,0.8255933952528379
79,INC,2020-12-03T05:00:00Z,False,Aviation,?,?,?,?,?,?,BOEING,737-8EH,AIR,?,False,,?,?,NUSC,?,?,Taxi,?,Prelim,0,0.8261093911248709
80,ACC,2020-12-02T22:15:00Z,False,Aviation,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,BELLANCA,17-30A,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.3462332301341589
81,ACC,2020-12-02T17:30:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,ROBINSON,R44,HELI,?,False,0.125,?,?,UNK,Destroyed,?,Unknown,?,Prelim,1,0.826625386996904
82,ACC,2020-12-02T17:00:00Z,False,Aviation,10/19/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA18,AIR,JNU,False,0.125,REC,PERS,091,Substantial,VMC,Taxi,Completed,Final,0,0.1609907120743034
83,ACC,2020-12-02T09:42:00Z,False,Aviation,2/7/2023 0:00,?,0.0,0.0,0.0,0.0,CESSNA,551,AIR,LFK,False,0.25,TF,BUS,091,Substantial,IMC,Landing,Completed,Final,0,0.4066047471620227
84,ACC,2020-12-02T08:51:00Z,False,Aviation,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA38,AIR,HWO,False,0.125,REC,INST,091,Substantial,VMC,Approach,Completed,Final,0,0.3462332301341589
85,INC,2020-12-02T07:52:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737,AIR,GGR,False,,?,?,129,Minor,?,Landing,?,Prelim,0,0.826625386996904
86,ACC,2020-12-01T15:30:00Z,False,Aviation,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,GRUMMAN,G164,AIR,?,True,0.125,REC,AAPL,137,Substantial,VMC,Takeoff,Completed,Final,0,0.2961816305469556
87,ACC,2020-12-01T13:50:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,Hutson,Star-Lite,AIR,8T8,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.130546955624355
88,INC,2020-12-01T11:40:00Z,False,Aviation,?,?,?,?,?,?,BOEING,757,AIR,?,False,,?,?,121,?,?,Enroute,?,Prelim,0,0.827141382868937
89,ACC,2020-11-30T13:13:00Z,False,Aviation,10/13/2022 0:00,Fatal,2.0,0.0,0.0,2.0,PIPER,PA38,AIR,?,False,0.125,REC,INST,091,Destroyed,VMC,Enroute,Completed,Final,1,0.34726522187822495
90,ACC,2020-11-29T12:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CHAMPION,7EC,AIR,NONE,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.13157894736842105
91,ACC,2020-11-29T11:50:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA28,AIR,N96,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.13157894736842105
92,ACC,2020-11-28T18:00:00Z,False,Aviation,9/20/2021 0:00,Serious,0.0,1.0,0.0,0.0,AEROSTAR INTERNATIONAL INC,RX 8,BALL,?,False,0.0,?,PERS,091,?,VMC,Unknown,Completed,Final,0,0.1480908152734778
93,ACC,2020-11-28T14:37:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA28,AIR,FRH,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.13209494324045407
94,ACC,2020-11-28T14:16:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,GLOBE,GC1A,AIR,?,False,,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.1480908152734778
95,ACC,2020-11-28T12:43:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CHAMPION,7FC,AIR,GED,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.13209494324045407
96,INC,2020-11-28T08:40:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737,AIR,SIN,False,,?,?,129,?,?,Taxi,?,Prelim,0,0.8286893704850361
97,ACC,2020-11-27T14:05:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,TTA,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.1326109391124871
98,ACC,2020-11-26T20:25:00Z,False,Aviation,?,Minor,0.0,0.0,1.0,1.0,ATR,ATR42,AIR,?,False,0.25,?,?,UNK,Minor,?,Landing,?,Prelim,0,0.8292053663570691
99,ACC,2020-11-26T13:59:00Z,False,Aviation,8/15/2023 0:00,Fatal,2.0,0.0,0.0,2.0,VANS,RV4,AIR,TEX,True,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,1,0.5072239422084623
100,ACC,2020-11-26T10:55:00Z,False,Aviation,9/22/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,T182T,AIR,BBG,False,0.125,REC,PERS,091,Substantial,IMC,Landing,Completed,Final,0,0.1501547987616099
101,ACC,2020-11-25T01:09:00Z,False,Aviation,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,500,AIR,PDK,False,0.25,REC,PERS,091,Minor,VMC,Landing,Completed,Final,0,0.3498452012383901
102,ACC,2020-11-24T17:07:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,47N,False,0.125,REC,INST,091,Substantial,VMC,Approach,Completed,Final,0,0.13415892672858615
103,ACC,2020-11-24T16:30:00Z,False,Aviation,10/5/2022 0:00,Serious,0.0,2.0,0.0,2.0,PIPER,PA32,AIR,GYH,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.3462332301341589
104,ACC,2020-11-24T10:30:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,GROB,120A-1,AIR,?,False,,?,?,UNK,Destroyed,?,Enroute,?,Prelim,1,0.8307533539731682
105,ACC,2020-11-24T10:28:00Z,False,Aviation,10/6/2022 0:00,Fatal,1.0,0.0,0.0,1.0,BEECH,V35,AIR,?,False,0.125,REC,PERS,091,Destroyed,VMC,Maneuvering,Completed,Final,1,0.34674922600619196
106,ACC,2020-11-23T16:23:00Z,False,Aviation,1/19/2023 0:00,Fatal,1.0,0.0,0.0,1.0,LANCAIR,LEGACY FG,AIR,HWO,True,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,1,0.40144478844169246
107,INC,2020-11-22T20:20:00Z,False,Aviation,?,?,?,?,?,?,BOEING,737,AIR,?,False,,?,?,NUSC,?,?,Enroute,?,Prelim,0,0.8312693498452012
108,ACC,2020-11-22T19:30:00Z,False,Aviation,8/31/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA12,AIR,?,False,,REC,PERS,091,Substantial,Unknown,Landing,Completed,Final,0,0.14086687306501547
109,ACC,2020-11-22T17:33:00Z,False,Aviation,9/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,J&J Ultralights,Sea-Wing,WSFT,?,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.15118679050567593
110,ACC,2020-11-21T13:50:00Z,False,Aviation,9/14/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,TU206,AIR,TNP,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.3369453044375645
111,ACC,2020-11-20T15:50:00Z,False,Aviation,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,LWC,False,,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.3018575851393189
112,ACC,2020-11-19T20:25:00Z,False,Aviation,8/31/2021 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA28,AIR,LNS,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.14241486068111453
113,ACC,2020-11-19T19:44:00Z,False,Aviation,8/24/2021 0:00,Minor,0.0,0.0,3.0,3.0,CESSNA,172,AIR,0I8,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.13880288957688336
114,ACC,2020-11-19T19:30:00Z,False,Aviation,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,?,?,?,?,True,,?,?,?,?,?,?,?,?,0,0.3023735810113519
