index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
5987,ACC,2023-04-20T11:05:00Z,False,Aviation,3/28/2024 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28-181,AIR,FNT,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.1723426212590299
5988,INC,2023-04-19T23:30:00Z,False,Aviation,?,?,?,?,?,?,AIRBUS,A320,AIR,?,False,,?,?,NUSC,?,?,Initial Climb,?,Prelim,0,0.3782249742002064
5989,ACC,2023-04-19T22:40:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PIPER,PA-23-250,AIR,?,False,0.25,?,?,NUSN,?,?,Enroute,?,Prelim,0,0.3782249742002064
5990,ACC,2023-04-19T19:37:00Z,False,Aviation,?,Serious,0.0,2.0,0.0,2.0,AERO VODOCHODY,L-139,AIR,XBP,False,0.125,?,INST,091,Substantial,VMC,Approach,In work,Prelim,0,0.3782249742002064
5991,ACC,2023-04-19T15:00:00Z,False,Aviation,3/19/2025 0:00,?,0.0,0.0,0.0,0.0,CESSNA,R182,AIR,40G,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.3565531475748194
5992,ACC,2023-04-19T09:28:00Z,False,Aviation,?,?,?,?,?,?,ROBINSON,R44,HELI,?,False,,?,?,129,Substantial,?,Standing,?,Prelim,0,0.3787409700722394
5993,ACC,2023-04-18T20:20:00Z,False,Aviation,7/27/2023 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-30,AIR,SGJ,False,0.25,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.04695562435500515
5994,ACC,2023-04-18T19:30:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,EMBRAER,EMB711,AIR,?,False,,?,?,NUSN,Substantial,?,Enroute,?,Prelim,0,0.3787409700722394
5995,ACC,2023-04-18T19:20:00Z,False,Aviation,2/20/2025 0:00,Fatal,2.0,0.0,0.0,2.0,CESSNA,172,AIR,UYF,False,0.125,REC,INST,091,Substantial,VMC,Approach,Completed,Final,1,0.3431372549019608
5996,ACC,2023-04-18T17:35:00Z,False,Aviation,8/17/2023 0:00,?,0.0,0.0,0.0,0.0,VASHON AIRCRAFT,RANGER R7,AIR,KCCB,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.05779153766769865
5997,ACC,2023-04-18T10:13:00Z,False,Aviation,3/19/2025 0:00,?,0.0,0.0,0.0,0.0,ROCKWELL INTERNATIONAL,112,AIR,TMB,False,0.125,REC,POSI,091,Substantial,VMC,Landing,Completed,Final,0,0.3570691434468524
5998,ACC,2023-04-18T08:45:00Z,False,Aviation,2/13/2025 0:00,?,0.0,0.0,0.0,0.0,REMOS AIRCRAFT GMBH,REMOS GX,AIR,GEU,False,0.125,REC,INST,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.3395252837977296
5999,ACC,2023-04-18T04:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,?,False,,?,?,NUSN,Substantial,?,Enroute,?,Prelim,0,0.37925696594427244
6000,INC,2023-04-17T16:09:00Z,False,Aviation,?,?,?,?,?,?,BOEING,757-232,AIR,?,False,0.25,?,?,121,Minor,?,Taxi,?,Prelim,0,0.3797729618163055
6001,ACC,2023-04-17T10:45:00Z,False,Aviation,10/5/2023 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172S,AIR,T82,False,0.125,?,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.08359133126934984
6002,INC,2023-04-17T04:00:00Z,False,Aviation,?,?,?,?,?,?,BOEING,747,AIR,?,False,,?,?,NUSC,?,?,Takeoff,?,Prelim,0,0.3797729618163055
6003,INC,2023-04-17T04:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,747,AIR,HKJK,False,,?,?,NUSC,Minor,?,Takeoff,?,Prelim,0,0.3797729618163055
6004,ACC,2023-04-17T04:00:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,CIRRUS,SR22,AIR,YSBK,False,,?,?,NUSN,Substantial,?,Landing,?,Prelim,1,0.3797729618163055
6005,ACC,2023-04-16T15:30:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,SAAB,340,AIR,?,False,,?,?,NUSC,Substantial,?,Landing,?,Prelim,0,0.3802889576883385
6006,ACC,2023-04-16T11:10:00Z,False,Aviation,11/7/2024 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA-28-180,AIR,KRAL,False,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.2899896800825593
6007,ACC,2023-04-16T10:30:00Z,False,Aviation,11/7/2024 0:00,?,0.0,0.0,0.0,0.0,CESSNA,T337G,AIR,CCB,False,0.25,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.2899896800825593
6008,ACC,2023-04-15T16:11:00Z,False,Aviation,6/29/2023 0:00,Minor,0.0,0.0,1.0,1.0,SCHWEIZER,SGS 1-26E,GLI,7NC5,False,0.0,?,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.034055727554179564
6009,ACC,2023-04-15T15:50:00Z,False,Aviation,6/29/2023 0:00,?,0.0,0.0,0.0,0.0,ICP SRL,SAVANNAH S,AIR,LCI,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.034055727554179564
