index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN
36,0,2020-12-21T15:52:00Z,False,0,7/12/2022 0:00,Fatal,2.0,0.0,0.0,2.0,456,875,1,1304,False,0.125,5,15,0,1,3,6,1,2,1
37,0,2020-12-20T21:35:00Z,False,0,11/4/2022 0:00,Serious,0.0,1.0,1.0,2.0,962,1201,1,1233,False,0.25,6,7,0,3,1,1,1,2,0
38,0,2020-12-20T21:11:00Z,False,0,10/19/2022 0:00,Fatal,1.0,0.0,0.0,1.0,250,163,1,116,False,0.125,5,15,0,3,1,3,1,2,1
39,0,2020-12-20T17:45:00Z,False,0,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,994,1725,6,789,False,0.125,5,15,0,3,3,10,1,2,0
40,0,2020-12-19T15:30:00Z,False,0,7/12/2022 0:00,Fatal,1.0,0.0,0.0,1.0,1159,2106,1,1247,True,,5,15,0,3,3,4,1,2,1
41,0,2020-12-19T13:16:00Z,False,0,2/2/2023 0:00,Minor,0.0,0.0,2.0,2.0,896,1677,1,649,False,0.125,5,15,0,3,3,3,1,2,0
42,0,2020-12-18T14:22:00Z,False,0,10/19/2022 0:00,Serious,0.0,3.0,0.0,3.0,896,1660,1,2670,False,0.125,5,13,0,1,3,1,1,2,0
43,0,2020-12-18T12:51:00Z,False,0,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,250,57,1,773,False,0.125,5,15,0,3,3,5,1,2,0
44,0,2020-12-17T17:37:00Z,False,0,10/19/2022 0:00,Fatal,1.0,3.0,0.0,4.0,1097,2068,1,1398,False,0.125,5,15,0,1,3,10,1,2,1
45,0,2020-12-17T17:29:00Z,False,0,8/16/2022 0:00,Fatal,1.0,0.0,0.0,1.0,444,988,1,576,False,0.125,5,15,0,3,3,6,1,2,1
46,0,2020-12-16T15:19:00Z,False,0,2/7/2023 0:00,?,0.0,0.0,0.0,0.0,421,1016,1,899,False,0.25,6,7,0,3,1,5,1,2,0
47,0,2020-12-16T15:17:00Z,False,0,11/2/2022 0:00,Fatal,1.0,0.0,0.0,1.0,1152,594,5,1340,True,0.125,5,15,0,3,3,4,1,2,1
48,0,2020-12-16T05:39:00Z,False,0,9/14/2022 0:00,Fatal,2.0,0.0,0.0,2.0,896,1660,1,576,False,0.125,5,15,0,1,1,3,1,2,1
49,0,2020-12-16T00:00:00Z,False,0,7/12/2022 0:00,Fatal,2.0,0.0,0.0,2.0,956,1822,1,2254,True,0.125,5,13,0,3,3,13,1,2,1
50,0,2020-12-15T17:15:00Z,False,0,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,715,1320,1,2089,False,0.125,5,15,0,3,3,5,1,2,0
51,0,2020-12-13T21:00:00Z,False,0,9/22/2021 0:00,?,0.0,0.0,0.0,0.0,447,989,1,1867,False,0.25,6,15,0,3,3,5,1,2,0
52,0,2020-12-13T13:52:00Z,False,0,?,?,?,?,?,?,31,1424,1,576,False,,0,0,13,1,0,4,0,3,0
53,0,2020-12-13T13:50:00Z,False,0,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,250,60,1,2034,False,0.125,5,13,0,3,3,10,1,2,0
54,0,2020-12-13T11:45:00Z,False,0,10/13/2022 0:00,Minor,0.0,0.0,2.0,2.0,472,877,1,555,False,0.125,5,15,0,3,3,10,1,2,0
55,0,2020-12-12T16:23:00Z,False,0,10/13/2022 0:00,Fatal,1.0,0.0,0.0,1.0,136,594,5,576,True,0.125,5,15,0,3,3,6,1,2,1
56,0,2020-12-12T13:50:00Z,False,0,10/13/2022 0:00,Minor,0.0,0.0,1.0,1.0,896,1658,1,576,False,0.125,5,15,0,3,3,1,1,2,0
57,0,2020-12-12T13:49:00Z,False,0,2/7/2023 0:00,Fatal,1.0,0.0,0.0,1.0,157,2146,1,576,False,0.125,5,15,0,1,1,6,1,2,1
