"Mkey	EventDate	City	State	Country	ReportNo	N#	SerialNumber	HasSafetyRec	Mode	ReportType	OriginalPublishedDate	DocketOriginalPublishedDate	HighestInjuryLevel	FatalInjuryCount	SeriousInjuryCount	MinorInjuryCount	OnboardInjuryCount	OnGroundInjuryCount	ProbableCause	Findings	EventID	Latitude	Longitude 	Make	Model	AirCraftCategory	AirportID	AirportName	AmateurBuilt	NumberOfEngines	EngineType	Scheduled	PurposeOfFlight	FAR	AirCraftDamage	WeatherCondition	Operator	BroadPhaseofFlight	ReportStatus	RepGenFlag	MostRecentReportType	DocketUrl	ReportUrl			",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA093	ACC	102476	2020-12-29T12:50:00Z	Westfield	Massachusetts	United States		N916MT	TC-1623	FALSE	Aviation	DirectorBrief	7/16/2021 0:00	2021-07-08T19:00:00Z	None	0	0	0	0		The pilot’s failure to maintain control of the airplane during the landing and his failure to confirm that the landing gear was extended before landing.	""Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated", Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained," Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot""		42.158287999999999	-72.716048	BEECH	95-B55 (T42A)	AIR	BAF	WESTFIELD-BARNES RGNL	false	2	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102476	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102476/pdf",,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA094	ACC	102477	2020-12-29T12:30:00Z	Stowe	Pennsylvania	United States		N6327F	18264160	FALSE	Aviation	DirectorBrief	8/20/2021 0:00	2021-07-13T19:00:00Z	None	0	0	0	0	0	""The pilot's loss of directional control while landing in a gusty crosswind"," which resulted in a runway excursion and subsequent impact with terrain.""	""Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained", Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation," Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot""		40.258777000000002	-75.673808	CESSNA	182	AIR	N47	POTTSTOWN MUNI	false	1	REC		PERS	091	Substantial	VMC	BALDRICK AVIATION PARTNERSHIP LLC	Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102477	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102477/pdf",,,,,,,,,,,,,,,,,,,
"cases2020.csv	GAA21WA006	ACC	102499	2020-12-29T11:30:00Z	""Rancador"," PR""		Brazil		PT-KCK		FALSE	Aviation				Fatal	4	0	0	4					243935	521722	CESSNA	177	AIR			false					NUSN	Destroyed		Rogerio Franci Brito e Outros	Enroute	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	CEN21LA102	ACC	102472	2020-12-29T09:35:00Z	Tuckers Crossing	Mississippi	United States		N103SU	210895D	FALSE	Aviation	DirectorBrief	12/7/2022 0:00	2022-11-18T19:00:00Z	Fatal	1	0	0	1		The pilot’s loss of helicopter control when the external saw contacted trees during an attempted emergency landing due to a main rotor transmission oil pressure warning. The reason that the pilot did not release the external saw from the helicopter during the attempted emergency landing could not be determined based on the available evidence.	""Aircraft - Aircraft propeller/rotor - Main rotor system - Main rotor indicating system - Related operating info", Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Not determined - Not determined - (general) - (general) - Unknown/Not determined, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Attain/maintain not possible, Personnel issues - Action/decision - Action - Lack of action - Pilot," Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot""		31.611861000000001	-89.086611	HUGHES	369D	HELI			false	1	TS		EXLD	133	Destroyed	VMC	SIGNATURE PROPERTY HOLDINGS LLC	Maneuvering	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102472	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102472/pdf",,,,,,,,,,,,,,,,,,
"cases2020.csv	GAA21WA135	ACC	103231	2020-12-28T22:03:00Z	Mérida		Mexico		N24YP	55000082	FALSE	Aviation				None	0	0	0	0					20.931961999999999	-89.663097	EMBRAER SA	EMB-550	AIR			false	2				NUSN	Substantial			Landing	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	CEN21LA103	ACC	102474	2020-12-28T21:00:00Z	Cypress	Texas	United States		N3702R	17255502	FALSE	Aviation	DirectorBrief	7/19/2022 0:00	2022-06-16T19:00:00Z	None	0	0	0	0		A total loss of engine power due to fuel exhaustion.	""Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level"," Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot""		30.047197000000001	-95.667653	CESSNA	172H	AIR			false	1	REC	NSCH	PERS	091	Substantial	VMC	Texas Flight Aviation	Enroute	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102474	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102474/pdf",,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	CEN21LA101	ACC	102465	2020-12-28T20:45:00Z	Alexandria	Minnesota	United States		N134BA	LD-202	FALSE	Aviation	DirectorBrief	7/12/2022 0:00	2022-06-13T19:00:00Z	None	0	0	0	0		""The pilot’s decision to attempt takeoff with frost covering the airplane and rotating below the published rotation speed"," which led to exceedance of the airplane’s critical angle of attack and an aerodynamic stall.""	""Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to structural icing - Effect on equipment", Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded," Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot""		45.865475000000004	-95.394471	BEECH	65-A80-8800	AIR	AXN	CHANDLER FLD	false	1	REC	NSCH		135	Substantial	VMC	""Bemidji Aviation Services"," Inc.""	Initial Climb	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102465	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102465/pdf",,,,,,,,,,,,,,,,,
"cases2020.csv	CEN21LA105	ACC	102481	2020-12-28T17:00:00Z	Navasota	Texas	United States		N1236	30-1167	FALSE	Aviation	DirectorBrief	8/20/2021 0:00	2021-08-11T18:00:00Z	None	0	0	0	0		The pilot’s failure to extend the landing gear before landing.	""Aircraft - Aircraft systems - Landing gear system - (general) - Not used/operated", Personnel issues - Task performance - Use of equip/info - (general) - Pilot," Personnel issues - Task performance - Use of equip/info - Use of checklist - Pilot""		30.37323	-96.1145	PIPER	PA-30	AIR	60R	NAVASOTA MUNI	false	2	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102481	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102481/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ENG21WA010	INC	102475	2020-12-28T05:15:00Z	Keflavik		Iceland		N810NW	674	FALSE	Aviation															AIRBUS	A330	AIR	KEF	Keflvik	false	2		SCHD	BUS	121	None		Delta Air Lines	Enroute	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	WPR21LA075	ACC	102464	2020-12-27T19:12:00Z	Santa Ynez	California	United States		N5474D	D-5064	FALSE	Aviation	DirectorBrief	1/31/2023 0:00	2023-03-01T01:00:00Z	Minor	0	0	3	3		""The pilot’s mismanagement of fuel"," which resulted in fuel starvation and a total loss of engine power.""	""Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management", Personnel issues - Action/decision - Action - Incorrect action performance - Pilot," Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot""		34.607900000000001	-120.0843	BEECH	35	AIR	IZA	SANTA YNEZ	false	1	REC		PERS	091	Substantial	VMC		Approach	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102464	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102464/pdf",,,,,,,,,,,,,,,,,,,,
